scenario,guidance_decay,param,value,success_rate,collision_rate,min_distance_to_obstacle,smoothness,path_length,inference_time_seconds
in_distribution_origin,baseline,max_guidance_norm,0.0,0.728,0.272,0.07348514348268509,0.26924341917037964,17.414791107177734,0.023897458013379946
in_distribution_origin,constant,max_guidance_norm,2.0,0.838,0.162,0.17332233488559723,1.486645221710205,32.800968170166016,0.025951209012418985
in_distribution_origin,constant,max_guidance_norm,2.5,0.882,0.118,0.2614342272281647,2.1674764156341553,38.308441162109375,0.02488208399154246
in_distribution_origin,constant,max_guidance_norm,3.0,0.896,0.104,0.43533045053482056,2.947026014328003,43.68782043457031,0.026078208000399172
in_distribution_origin,constant,max_guidance_norm,3.5,0.918,0.082,0.37490296363830566,3.6957523822784424,48.31943893432617,0.026884208986302838
in_distribution_origin,constant,max_guidance_norm,4.0,0.948,0.052,0.10821402072906494,4.311405658721924,51.876922607421875,0.025907833012752235
in_distribution_origin,constant,max_guidance_norm,4.5,0.962,0.038,0.24221208691596985,4.750824451446533,54.3134765625,0.027113749994896352
in_distribution_origin,constant,max_guidance_norm,5.0,0.97,0.03,0.3827710747718811,5.0289506912231445,55.822818756103516,0.026035415998194367
in_distribution_origin,constant,max_guidance_norm,6.0,0.982,0.018,0.5919525027275085,5.267162322998047,57.0982666015625,0.02579975000116974
in_distribution_origin,constant,max_guidance_norm,7.0,0.982,0.018,0.6562833786010742,5.3254265785217285,57.407569885253906,0.02668349997838959
in_distribution_origin,constant,max_guidance_norm,8.0,0.982,0.018,0.6567025184631348,5.33601713180542,57.46509552001953,0.03366324998205528
in_distribution_origin,distance_gated,max_guidance_norm,2.0,0.836,0.164,0.2509964108467102,1.0761781930923462,28.530031204223633,0.028877042001113296
in_distribution_origin,distance_gated,max_guidance_norm,2.5,0.858,0.142,0.18163590133190155,1.3867591619491577,31.48047637939453,0.028951542015420273
in_distribution_origin,distance_gated,max_guidance_norm,3.0,0.884,0.116,0.18924421072006226,1.6771926879882812,33.997291564941406,0.028672040993114933
in_distribution_origin,distance_gated,max_guidance_norm,3.5,0.906,0.094,0.31820473074913025,1.917607069015503,35.95992660522461,0.029632250021677464
in_distribution_origin,distance_gated,max_guidance_norm,4.0,0.928,0.072,0.29977041482925415,2.097381353378296,37.373451232910156,0.028837791993282735
in_distribution_origin,distance_gated,max_guidance_norm,4.5,0.95,0.05,0.30625465512275696,2.2246451377868652,38.34747314453125,0.028086832986446097
in_distribution_origin,distance_gated,max_guidance_norm,5.0,0.96,0.04,0.37651005387306213,2.3071343898773193,38.97044372558594,0.02864487501210533
in_distribution_origin,distance_gated,max_guidance_norm,6.0,0.98,0.02,0.5104866027832031,2.389364004135132,39.58385467529297,0.028160665999166667
in_distribution_origin,distance_gated,max_guidance_norm,7.0,0.98,0.02,0.599486231803894,2.4115734100341797,39.75377655029297,0.037523790990235284
in_distribution_origin,distance_gated,max_guidance_norm,8.0,0.98,0.02,0.6033108234405518,2.4151358604431152,39.78319549560547,0.028805375011870638
ood_shifted_y,baseline,max_guidance_norm,0.0,0.762,0.238,0.0766620934009552,0.26924341917037964,17.414791107177734,0.023815458989702165
ood_shifted_y,constant,max_guidance_norm,2.0,0.998,0.002,0.7941461205482483,0.4551164507865906,20.466707229614258,0.026350207976065576
ood_shifted_y,constant,max_guidance_norm,2.5,1.0,0.0,1.0950220823287964,0.49271175265312195,20.998321533203125,0.028273749980144203
ood_shifted_y,constant,max_guidance_norm,3.0,1.0,0.0,1.2057719230651855,0.5255020260810852,21.452980041503906,0.02670854199095629
ood_shifted_y,constant,max_guidance_norm,3.5,1.0,0.0,1.2267333269119263,0.554057776927948,21.83148193359375,0.02807891700649634
ood_shifted_y,constant,max_guidance_norm,4.0,1.0,0.0,1.2777334451675415,0.5776424407958984,22.129749298095703,0.026559833000646904
ood_shifted_y,constant,max_guidance_norm,4.5,1.0,0.0,1.330966830253601,0.5956476926803589,22.349355697631836,0.027000166999641806
ood_shifted_y,constant,max_guidance_norm,5.0,1.0,0.0,1.3866673707962036,0.6083540320396423,22.499948501586914,0.025677333993371576
ood_shifted_y,constant,max_guidance_norm,6.0,1.0,0.0,1.4167592525482178,0.6209900975227356,22.646785736083984,0.027870416990481317
ood_shifted_y,constant,max_guidance_norm,7.0,1.0,0.0,1.418067216873169,0.6242738366127014,22.685575485229492,0.027153125003678724
ood_shifted_y,constant,max_guidance_norm,8.0,1.0,0.0,1.418067216873169,0.624900758266449,22.693008422851562,0.026369083003373817
ood_shifted_y,distance_gated,max_guidance_norm,2.0,0.986,0.014,0.528864324092865,0.3932037651538849,19.368654251098633,0.02888716702000238
ood_shifted_y,distance_gated,max_guidance_norm,2.5,0.994,0.006,0.4133169651031494,0.41567716002464294,19.672025680541992,0.02892329200403765
