scenario,guidance_decay,param,value,success_rate,collision_rate,min_distance_to_obstacle,smoothness,path_length,inference_time_seconds
in_distribution_origin,baseline,guidance_margin,0.0,0.728,0.272,0.07348514348268509,0.26924341917037964,17.414791107177734,0.023393999988911673
in_distribution_origin,conditional,guidance_margin,0.0,0.722,0.278,0.07952055335044861,0.2885024845600128,17.806528091430664,0.0221793329983484
in_distribution_origin,constant,guidance_margin,0.0,0.746,0.254,0.2231614887714386,0.295381098985672,17.887834548950195,0.02511062502162531
in_distribution_origin,conditional_constant,guidance_margin,0.0,0.744,0.256,0.19189859926700592,0.3165639042854309,18.30823516845703,0.02594841699465178
in_distribution_origin,constant,guidance_margin,0.25,0.772,0.228,0.3053533732891083,0.3367636799812317,18.591981887817383,0.02563645801274106
in_distribution_origin,conditional_constant,guidance_margin,0.25,0.78,0.22,0.29145389795303345,0.36123934388160706,19.061180114746094,0.025210332998540252
in_distribution_origin,constant,guidance_margin,0.5,0.806,0.194,0.4107174575328827,0.41679590940475464,19.862430572509766,0.02604795800289139
in_distribution_origin,conditional_constant,guidance_margin,0.5,0.804,0.196,0.3447907269001007,0.44771480560302734,20.415393829345703,0.025046249997103587
in_distribution_origin,constant,guidance_margin,0.75,0.8240000000000001,0.176,0.2881409227848053,0.5602984428405762,21.935876846313477,0.025437458010856062
in_distribution_origin,conditional_constant,guidance_margin,0.75,0.838,0.162,0.3931073546409607,0.6020399332046509,22.60301971435547,0.026517041987972334
in_distribution_origin,constant,guidance_margin,1.0,0.838,0.162,0.3840453028678894,0.8083569407463074,25.0986328125,0.02575062500545755
in_distribution_origin,conditional_constant,guidance_margin,1.0,0.872,0.128,0.45869308710098267,0.8698216676712036,25.938474655151367,0.025117459008470178
in_distribution_origin,constant,guidance_margin,1.25,0.886,0.114,0.44069746136665344,1.2312783002853394,29.714862823486328,0.025851332989986986
in_distribution_origin,conditional_constant,guidance_margin,1.25,0.922,0.078,0.44507381319999695,1.3325709104537964,30.827991485595703,0.02369579201331362
in_distribution_origin,constant,guidance_margin,1.5,0.94,0.06,0.35918477177619934,1.9581406116485596,36.26751708984375,0.02576724998652935
in_distribution_origin,conditional_constant,guidance_margin,1.5,0.948,0.052,0.645522952079773,2.152188539505005,37.91421127319336,0.026827958005014807
in_distribution_origin,constant,guidance_margin,1.75,0.976,0.024,0.49097326397895813,3.212198495864868,45.323638916015625,0.02617562498198822
in_distribution_origin,conditional_constant,guidance_margin,1.75,0.982,0.018,0.7338045835494995,3.641376256942749,48.10786056518555,0.02577183401444927
in_distribution_origin,constant,guidance_margin,2.0,0.982,0.018,0.6567025184631348,5.336719512939453,57.46892547607422,0.026285333005944267
in_distribution_origin,conditional_constant,guidance_margin,2.0,0.992,0.008,0.7397531270980835,6.2730793952941895,62.14741134643555,0.02453458300442435
in_distribution_origin,constant,guidance_margin,2.5,0.99,0.01,0.8358118534088135,14.120872497558594,92.43869018554688,0.02514254199923016
in_distribution_origin,conditional_constant,guidance_margin,2.5,0.996,0.004,0.5387855172157288,16.71122169494629,101.23213958740234,0.025942917010979727
in_distribution_origin,distance_gated,guidance_margin,0.0,0.746,0.254,0.2231614887714386,0.295381098985672,17.887834548950195,0.031065249990206212
in_distribution_origin,conditional_distance_gated,guidance_margin,0.0,0.744,0.256,0.19189859926700592,0.3165639042854309,18.30823516845703,0.027227832993958145
in_distribution_origin,distance_gated,guidance_margin,0.25,0.77,0.23,0.31099969148635864,0.33348843455314636,18.529335021972656,0.028432291990611702
in_distribution_origin,conditional_distance_gated,guidance_margin,0.25,0.778,0.222,0.29166722297668457,0.35759976506233215,18.992448806762695,0.028143125004135072
in_distribution_origin,distance_gated,guidance_margin,0.5,0.808,0.192,0.412131667137146,0.3970736861228943,19.527076721191406,0.02824345900444314
in_distribution_origin,conditional_distance_gated,guidance_margin,0.5,0.794,0.206,0.3372715413570404,0.4259101450443268,20.052621841430664,0.028054166992660612
in_distribution_origin,distance_gated,guidance_margin,0.75,0.8180000000000001,0.182,0.37779879570007324,0.49539437890052795,20.967512130737305,0.027396291989134625
in_distribution_origin,conditional_distance_gated,guidance_margin,0.75,0.832,0.168,0.39348334074020386,0.5311272144317627,21.571170806884766,0.026826999994227663
in_distribution_origin,distance_gated,guidance_margin,1.0,0.844,0.156,0.37110355496406555,0.6428506970405579,22.96038246154785,0.027754791983170435
in_distribution_origin,conditional_distance_gated,guidance_margin,1.0,0.862,0.138,0.5466184616088867,0.6889886260032654,23.668561935424805,0.027640499989502132
in_distribution_origin,distance_gated,guidance_margin,1.25,0.87,0.13,0.4853827655315399,0.8618427515029907,25.64415168762207,0.02732937497785315
in_distribution_origin,conditional_distance_gated,guidance_margin,1.25,0.902,0.098,0.5226172804832458,0.9249538779258728,26.497268676757812,0.027709584013791755
in_distribution_origin,distance_gated,guidance_margin,1.5,0.912,0.088,0.5520942211151123,1.1874269247055054,29.191917419433594,0.027709583984687924
in_distribution_origin,conditional_distance_gated,guidance_margin,1.5,0.9299999999999999,0.07,0.48452284932136536,1.2798571586608887,30.252296447753906,0.029509790998417884
in_distribution_origin,distance_gated,guidance_margin,1.75,0.948,0.052,0.5187446475028992,1.676155924797058,33.82171630859375,0.02779454199480824
in_distribution_origin,conditional_distance_gated,guidance_margin,1.75,0.968,0.032,0.6851574182510376,1.8232946395874023,35.218605041503906,0.026564208994386718
in_distribution_origin,distance_gated,guidance_margin,2.0,0.98,0.02,0.6033108234405518,2.4153499603271484,39.785037994384766,0.027720833983039483
in_distribution_origin,conditional_distance_gated,guidance_margin,2.0,0.982,0.018,0.8475447297096252,2.6731934547424316,41.790706634521484,0.028014082985464483
in_distribution_origin,distance_gated,guidance_margin,2.5,0.99,0.01,0.5785969495773315,5.182753086090088,56.74604797363281,0.028317083982983604
in_distribution_origin,conditional_distance_gated,guidance_margin,2.5,0.994,0.006,0.563119649887085,6.064924716949463,61.275360107421875,0.02723737497581169
ood_shifted_y,baseline,guidance_margin,0.0,0.762,0.238,0.0766620934009552,0.26924341917037964,17.414791107177734,0.03033837501425296
ood_shifted_y,conditional,guidance_margin,0.0,0.8220000000000001,0.178,0.05698603764176369,0.2862992584705353,17.774051666259766,0.0240057920163963
ood_shifted_y,constant,guidance_margin,0.0,0.776,0.224,0.21720543503761292,0.27550336718559265,17.50625228881836,0.02495654101949185
ood_shifted_y,conditional_constant,guidance_margin,0.0,0.836,0.164,0.3208937346935272,0.2906443178653717,17.831863403320312,0.02529479199438356
ood_shifted_y,constant,guidance_margin,0.25,0.8200000000000001,0.18,0.2706383168697357,0.2853354215621948,17.637727737426758,0.026506499998504296
ood_shifted_y,conditional_constant,guidance_margin,0.25,0.856,0.144,0.40228497982025146,0.2977874279022217,17.925121307373047,0.02686604199698195
ood_shifted_y,constant,guidance_margin,0.5,0.868,0.132,0.2982093393802643,0.30263668298721313,17.864765167236328,0.025374916003784165
ood_shifted_y,conditional_constant,guidance_margin,0.5,0.916,0.084,0.40442904829978943,0.3105297088623047,18.09131622314453,0.0260358749947045
ood_shifted_y,constant,guidance_margin,0.75,0.91,0.09,0.3386619985103607,0.32823726534843445,18.204072952270508,0.025855125015368685
ood_shifted_y,conditional_constant,guidance_margin,0.75,0.954,0.046,0.5191863179206848,0.330352246761322,18.363492965698242,0.025458250020164996
ood_shifted_y,constant,guidance_margin,1.0,0.95,0.05,0.6156240701675415,0.36155223846435547,18.665979385375977,0.025780416995985433
ood_shifted_y,conditional_constant,guidance_margin,1.0,0.98,0.02,0.6637147068977356,0.35947516560554504,18.78769874572754,0.027061208005761728
ood_shifted_y,constant,guidance_margin,1.25,0.984,0.016,0.6031360626220703,0.40205448865890503,19.27265167236328,0.026437292021000758
ood_shifted_y,conditional_constant,guidance_margin,1.25,0.996,0.004,0.8619628548622131,0.3992951214313507,19.400022506713867,0.025627333990996704
ood_shifted_y,constant,guidance_margin,1.5,0.994,0.006,0.8016138672828674,0.4544532001018524,20.090309143066406,0.02608741697622463
ood_shifted_y,conditional_constant,guidance_margin,1.5,1.0,0.0,1.1620252132415771,0.4535774290561676,20.246355056762695,0.02648745902115479
ood_shifted_y,constant,guidance_margin,1.75,1.0,0.0,1.022306203842163,0.5239454507827759,21.194578170776367,0.025165457976981997
ood_shifted_y,conditional_constant,guidance_margin,1.75,1.0,0.0,1.3787431716918945,0.5285151600837708,21.373037338256836,0.024608250008895993
ood_shifted_y,constant,guidance_margin,2.0,1.0,0.0,1.418067216873169,0.624947726726532,22.693592071533203,0.025759082986041903
ood_shifted_y,conditional_constant,guidance_margin,2.0,1.0,0.0,1.7554203271865845,0.6323927640914917,22.859386444091797,0.02768354199361056
