scenario,guidance_decay,param,value,success_rate,collision_rate,min_distance_to_obstacle,smoothness,path_length,inference_time_seconds
in_distribution_origin,baseline,max_guidance_norm,0.0,0.728,0.272,0.07348514348268509,0.26924341917037964,17.414791107177734,0.023926207999465987
in_distribution_origin,conditional,max_guidance_norm,0.0,0.722,0.278,0.07952055335044861,0.2885024845600128,17.806528091430664,0.02376895898487419
in_distribution_origin,constant,max_guidance_norm,2.0,0.838,0.162,0.17332233488559723,1.486645221710205,32.800968170166016,0.026341374992625788
in_distribution_origin,conditional_constant,max_guidance_norm,2.0,0.866,0.134,0.08409999310970306,1.6554697751998901,34.35219192504883,0.026667832979001105
in_distribution_origin,constant,max_guidance_norm,2.5,0.882,0.118,0.2614342272281647,2.1674764156341553,38.308441162109375,0.026308083994081244
in_distribution_origin,conditional_constant,max_guidance_norm,2.5,0.896,0.104,0.22971554100513458,2.467332124710083,40.52328872680664,0.027284957992378622
in_distribution_origin,constant,max_guidance_norm,3.0,0.896,0.104,0.43533045053482056,2.947026014328003,43.68782043457031,0.028008249995764345
in_distribution_origin,conditional_constant,max_guidance_norm,3.0,0.926,0.074,0.387080579996109,3.402113199234009,46.582420349121094,0.027119707985548303
in_distribution_origin,constant,max_guidance_norm,3.5,0.918,0.082,0.37490296363830566,3.6957523822784424,48.31943893432617,0.03007637499831617
in_distribution_origin,conditional_constant,max_guidance_norm,3.5,0.946,0.054,0.5297572016716003,4.304808139801025,51.835391998291016,0.02938666701084003
in_distribution_origin,constant,max_guidance_norm,4.0,0.948,0.052,0.10821402072906494,4.311405658721924,51.876922607421875,0.02804337500128895
in_distribution_origin,conditional_constant,max_guidance_norm,4.0,0.968,0.032,0.6697162985801697,5.046639919281006,55.88204574584961,0.027602750022197142
in_distribution_origin,constant,max_guidance_norm,4.5,0.962,0.038,0.24221208691596985,4.750824451446533,54.3134765625,0.026769625023007393
in_distribution_origin,conditional_constant,max_guidance_norm,4.5,0.974,0.026,0.8411769270896912,5.575765609741211,58.645240783691406,0.026786667003761977
in_distribution_origin,constant,max_guidance_norm,5.0,0.97,0.03,0.3827710747718811,5.0289506912231445,55.822818756103516,0.02746437501627952
in_distribution_origin,conditional_constant,max_guidance_norm,5.0,0.984,0.016,0.5138513445854187,5.916597843170166,60.363861083984375,0.026449041004525498
in_distribution_origin,constant,max_guidance_norm,6.0,0.982,0.018,0.5919525027275085,5.267162322998047,57.0982666015625,0.02695583301829174
in_distribution_origin,conditional_constant,max_guidance_norm,6.0,0.994,0.006,0.5531356334686279,6.198677062988281,61.767459869384766,0.026182875008089468
in_distribution_origin,constant,max_guidance_norm,7.0,0.982,0.018,0.6562833786010742,5.3254265785217285,57.407569885253906,0.026382334006484598
in_distribution_origin,conditional_constant,max_guidance_norm,7.0,0.992,0.008,0.7228121161460876,6.261508941650391,62.08726119995117,0.027187041006982327
in_distribution_origin,constant,max_guidance_norm,8.0,0.982,0.018,0.6567025184631348,5.33601713180542,57.46509552001953,0.02646933399955742
in_distribution_origin,conditional_constant,max_guidance_norm,8.0,0.992,0.008,0.7397531270980835,6.272463321685791,62.143924713134766,0.02543679199879989
in_distribution_origin,distance_gated,max_guidance_norm,2.0,0.836,0.164,0.2509964108467102,1.0761781930923462,28.530031204223633,0.028411499981302768
in_distribution_origin,conditional_distance_gated,max_guidance_norm,2.0,0.858,0.142,0.14109094440937042,1.1739288568496704,29.635183334350586,0.028929833002621308
in_distribution_origin,distance_gated,max_guidance_norm,2.5,0.858,0.142,0.18163590133190155,1.3867591619491577,31.48047637939453,0.029087834001984447
in_distribution_origin,conditional_distance_gated,max_guidance_norm,2.5,0.872,0.128,0.1812576949596405,1.5187324285507202,32.79375457763672,0.027914125006645918
in_distribution_origin,distance_gated,max_guidance_norm,3.0,0.884,0.116,0.18924421072006226,1.6771926879882812,33.997291564941406,0.030937541014282033
in_distribution_origin,conditional_distance_gated,max_guidance_norm,3.0,0.912,0.088,0.336132675409317,1.8431293964385986,35.50202941894531,0.03023033300996758
in_distribution_origin,distance_gated,max_guidance_norm,3.5,0.906,0.094,0.31820473074913025,1.917607069015503,35.95992660522461,0.028551166993565857
in_distribution_origin,conditional_distance_gated,max_guidance_norm,3.5,0.9359999999999999,0.064,0.4233162999153137,2.112368106842041,37.62448501586914,0.029107874986948445
in_distribution_origin,distance_gated,max_guidance_norm,4.0,0.928,0.072,0.29977041482925415,2.097381353378296,37.373451232910156,0.030371375003596768
in_distribution_origin,conditional_distance_gated,max_guidance_norm,4.0,0.95,0.05,0.5760890245437622,2.3145570755004883,39.16347122192383,0.029132291994756088
in_distribution_origin,distance_gated,max_guidance_norm,4.5,0.95,0.05,0.30625465512275696,2.2246451377868652,38.34747314453125,0.02941612500580959
in_distribution_origin,conditional_distance_gated,max_guidance_norm,4.5,0.97,0.03,0.699601948261261,2.4589712619781494,40.229820251464844,0.028773625002941117
in_distribution_origin,distance_gated,max_guidance_norm,5.0,0.96,0.04,0.37651005387306213,2.3071343898773193,38.97044372558594,0.029720583028392866
in_distribution_origin,conditional_distance_gated,max_guidance_norm,5.0,0.976,0.024,0.7617882490158081,2.5528218746185303,40.911705017089844,0.02797404199372977
in_distribution_origin,distance_gated,max_guidance_norm,6.0,0.98,0.02,0.5104866027832031,2.389364004135132,39.58385467529297,0.028894499992020428
